"","numerator","denominator","estimate","SE","df","t.ratio","p.value","within_don","feature"
"1","second","mixed",-0.0336956716892011,0.0330833239235872,47,-1.01850925762563,0.498487471072677,"DonorA","Bin"
"2","first","mixed",0.0869565265222494,0.031191256920745,47,2.78784938815387,0.0147633093168793,"DonorA","Bin"
"3","second","mixed",-0.0658536972766908,0.031191256920745,47,-2.11128706496249,0.0749985554859116,"DonorB","Bin"
"4","first","mixed",0.0432926398437399,0.0330833239235871,47,1.30859401986733,0.334163689292018,"DonorB","Bin"
"5","second","mixed",-0.0523437499284207,0.031348926347279,47,-1.66971427820411,0.182242387185365,"DonorA","MAG"
"6","first","mixed",0.137500000018804,0.0295560512041048,47,4.65217762241891,5.35846946294605e-05,"DonorA","MAG"
"7","second","mixed",-0.0888888887540079,0.0295560512041048,47,-3.00746835699293,0.00821573421406585,"DonorB","MAG"
"8","first","mixed",0.0435185187234147,0.031348926347279,47,1.38819805952276,0.295289736519579,"DonorB","MAG"
"9","second","mixed",-0.0468621268209836,0.0211531203832988,47,-2.2153765483216,0.0595575128903123,"DonorA","Gene"
"10","first","mixed",0.0560940356855847,0.019943353155048,47,2.81266822331662,0.0138352747352321,"DonorA","Gene"
"11","second","mixed",-0.0547448410387703,0.019943353155048,47,-2.7450168792159,0.0165002856415825,"DonorB","Gene"
"12","first","mixed",0.0442575022972336,0.0211531203832988,47,2.09224461901028,0.0781638795991677,"DonorB","Gene"
"13","second","mixed",-0.0163043682498657,0.0270924274662919,47,-0.601805366837337,0.763232064627134,"DonorA","Species"
"14","first","mixed",-0.0217393311022694,0.0255429855737153,47,-0.851088101644626,0.604559243760723,"DonorA","Species"
"15","second","mixed",-0.0872342105521888,0.0255429855737153,47,-3.41519241360556,0.00259623834284939,"DonorB","Species"
"16","first","mixed",0.0239362565971842,0.0270924274662917,47,0.883503577778907,0.583698709410078,"DonorB","Species"
